,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
141,BSDE.JK,967,241,0.5850622406639004,392,575,"[-3.30036872e-02  1.05557036e-02 -2.84660597e-03  2.02744972e-04
 -6.29544088e-01]",-0.38322927228376363
142,BSIM.JK,967,241,0.6639004149377593,308,659,"[-4.39998658e-01 -2.77862267e-02 -4.96723741e-03  2.28840960e-04
 -1.47197957e+00]",-0.7550969947604617
143,BSML.JK,247,61,0.7540983606557377,86,161,[ 0.04133094 -0.02287197  0.00482798  0.00336309  0.41289366],-0.6294108270210922
144,BSSR.JK,967,241,0.5186721991701245,349,618,[-0.0965344   0.0327487   0.00452418  0.03126639 -1.01129704],-0.5595902469646108
145,BTEK.JK,967,241,1.0,135,832,[-0.36208336 -0.00297289  0.02598922  0.17594079 -1.00955641],-1.8223480765955098
146,BTON.JK,967,241,0.6224066390041494,353,614,"[-3.75681175e-01  1.51833317e-02 -7.31220588e-03 -8.47704697e-04
 -3.40988036e+00]",-0.5551649254381911
147,BTPN.JK,967,241,0.6224066390041494,385,582,[-0.03108865 -0.00539168 -0.00532788 -0.00183113 -0.85090502],-0.4090844568533508
148,BTPS.JK,967,241,0.6141078838174274,432,535,[-0.0979731   0.03427416  0.07118542  0.00130933  0.32405005],-0.21678884468579285
149,BUAH.JK,124,30,0.2,55,69,[ 0.10142768  0.12239117  0.17483078 -0.04570027  0.19884833],-0.24065692916079057
150,BUDI.JK,967,241,0.6639004149377593,321,646,[-0.057915   -0.02815217  0.00434252 -0.00307645 -1.32428154],-0.6978289737383722
151,BUKA.JK,320,79,0.6329113924050633,123,197,[ 0.02038593  0.24242625  0.06173173 -0.01071389 -0.21621495],-0.47752003634326595
152,BUKK.JK,967,241,0.6141078838174274,355,612,[-0.51546349  0.02289093  0.22797866 -0.00735373 -1.44431225],-0.5340563094095041
153,BULL.JK,968,241,0.5892116182572614,385,583,[-0.07099776 -0.00057903 -0.00474449 -0.0064095  -0.14127548],-0.41347550649433956
154,BUMI.JK,967,241,0.5518672199170125,257,710,[0.05805484 0.04044974 0.04250514 0.01723382 0.16938842],-1.0214894134686618
155,BVIC.JK,967,241,0.6514522821576764,330,637,[-0.26834592  0.01192897  0.1315334   0.06663776 -0.65571324],-0.651364904663669
156,BWPT.JK,967,241,0.7178423236514523,344,623,[-0.22267878  0.00640079 -0.07319686  0.00057928  0.06771919],-0.5987717482822534
157,BYAN.JK,968,241,0.47717842323651455,279,689,[ 0.20490984 -0.00034769 -0.02309072  0.00849055 -0.11840392],-0.90158257845162
158,CAKK.JK,870,217,0.6175115207373272,228,642,[-0.10807222 -0.04551888  0.13688777 -0.0025013  -1.50490448],-1.0498436184004107
159,CAMP.JK,967,241,0.5933609958506224,355,612,[ 0.00397522 -0.00948749 -0.06175647 -0.00096209 -0.52647089],-0.5391764690229726
160,CANI.JK,968,241,0.6556016597510373,255,713,"[-6.79472244e-01 -1.41455819e-04  1.17144395e-02  2.26716880e-02
  1.95505775e-01]",-1.0323961738642613
161,CARE.JK,588,147,0.5986394557823129,221,367,[-0.04752458 -0.08366129  0.00306041  0.11187611  0.33178451],-0.5160516213000226
162,CARS.JK,967,241,0.7634854771784232,160,807,[-0.17285715  0.00676542  0.63739328  0.01949571 -0.09826717],-1.613892642766223
163,CASA.JK,967,241,0.6721991701244814,274,693,[-0.0911452   0.00267711 -0.01790437  0.03390425 -0.40112225],-0.9239156582046179
164,CASH.JK,562,140,0.65,203,359,[-0.14116721 -0.29973079  0.07850368  0.03864458  0.6075537 ],-0.577084783757565
165,CASS.JK,968,241,0.5601659751037344,253,715,[-0.18845549  0.05162446  0.03060568 -0.00283044 -1.03333019],-1.038004278595931
166,CBMF.JK,573,143,1.0,166,407,[ 0.60270632  0.01243657  0.10865471 -0.03570541  0.12604899],-0.902580232398408
167,CBPE.JK,38,9,0.6666666666666666,15,23,[-0.01707133  0.08491607  0.77877388  0.00994066 -0.24384975],-0.4976171526289575
168,CBRE.JK,37,9,0.8888888888888888,8,29,[-0.01131284  0.0197215  -0.04888211 -0.32528243 -0.17484303],-1.2616823009789127
169,CBUT.JK,72,18,0.4444444444444444,34,38,[ 0.00166202  0.08348032 -0.56050275 -0.43990217  0.07004296],-0.16240286598509804
170,CCSI.JK,740,184,0.7282608695652174,282,458,[-0.05126462  0.08723029 -0.05531842 -0.00756003 -1.36754198],-0.4800861836836942
171,CEKA.JK,967,241,0.6348547717842323,391,576,[-0.13546795  0.00740031 -0.05599459  0.00937415 -1.38054023],-0.378595954258604
172,CENT.JK,967,241,0.7095435684647303,333,634,[ 0.04796627 -0.03140572  0.09697949  0.00351642 -0.97905505],-0.6396796060192081
173,CFIN.JK,967,241,0.6224066390041494,334,633,[-0.17243087 -0.03782198  0.0388543  -0.02807544 -0.77570513],-0.6444632401767774
174,CHEM.JK,141,35,0.6571428571428571,45,96,[-0.11582066  0.04739377 -0.3558871   0.01001976 -0.31586819],-0.751379765730838
175,CHIP.JK,20,5,0.4,9,11,[-0.03907916 -0.08121886 -0.13243974  0.39305008  0.08573486],-0.24547339669218599
176,CINT.JK,967,241,0.7302904564315352,309,658,"[-5.28622374e-01  2.94876612e-03  1.98178753e-03  7.11088764e-03
 -2.47729575e+00]",-0.7582773596701585
177,CITA.JK,968,241,0.6680497925311203,283,685,[-0.14590582 -0.00088528  0.00300003  0.02242627 -0.11611518],-0.8832684243511502
178,CITY.JK,888,221,0.6832579185520362,290,598,[-0.23493363  0.04945734 -0.04113822 -0.00265452 -1.27298141],-0.7319192930900686
179,CLAY.JK,824,206,0.7475728155339806,246,578,[-0.14238263 -0.00793809  0.01873129  0.02190232 -1.11477102],-0.8512550461018076
180,CLEO.JK,967,241,0.5975103734439834,336,631,[-0.05815505  0.03886174  0.00436523  0.00970993 -0.04944802],-0.6308910395680264
181,CLPI.JK,967,241,0.6763485477178424,343,624,[ 0.08826414 -0.00869168 -0.01830564  0.01030386 -1.82814481],-0.5959613861182407
182,CMNP.JK,967,241,0.6639004149377593,383,584,[-0.19848164  0.07681518 -0.0207481   0.00649425 -0.19605824],-0.41663826902003964
183,CMNT.JK,303,75,0.72,114,189,[ 0.01050709 -0.14447238 -0.02167043  0.00193066  0.16905168],-0.5177653607967222
184,CMRY.JK,253,63,0.49206349206349204,117,136,[-0.11739122  0.00716    -0.17066768 -0.00301837 -0.113595  ],-0.13775812101266985
185,CNTX.JK,966,241,0.7468879668049793,238,728,[-0.64684205  0.02577571  0.00433841  0.02700455 -2.5317135 ],-1.1254950827233945
186,COAL.JK,108,26,0.6153846153846154,30,78,[-0.05044376  0.05938524 -0.23320365  0.41764639  0.95616634],-0.9911671511927161
187,COCO.JK,790,197,0.6040609137055838,239,551,[-0.15312882  0.02605883  0.01844037  0.00072229 -0.33076154],-0.827841555895391
188,COWL.JK,966,241,1.0,102,864,[-0.16548354  0.09728629  0.6721066  -0.00954737 -0.3606115 ],-2.1365032902827785
189,CPIN.JK,967,241,0.5518672199170125,431,536,[-0.04416465 -0.00224026 -0.00255589  0.00932593 -0.69787635],-0.2184985325912694
190,CPRI.JK,777,194,1.0,25,752,[-0.12847269  1.35317661  0.75570524 -0.05593475 -0.43146032],-3.3222168519710684
191,CRAB.JK,123,30,0.7333333333333333,41,82,[-0.04183734 -0.9842409  -0.66718483  0.53902157 -0.89452799],-0.6729648555496177
192,CSAP.JK,967,241,0.6141078838174274,310,657,[-0.26771825  0.0045423   0.0436337   0.02401728 -1.57905483],-0.7454397915132984
