,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
562,PJAA.JK,967,241,0.6680497925311203,284,683,[[-0.14165865 -0.03015177  0.00464397  0.00766868 -0.04197308]],[-0.87480126]
563,PKPK.JK,967,241,0.5352697095435685,248,719,[[-0.18685492 -0.02047824 -0.01278209  0.00911699 -0.84899163]],[-1.07269942]
564,PLAN.JK,492,123,0.7967479674796748,138,354,[[ 0.13083374  0.04093344 -0.00321654 -0.0064728  -0.63839264]],[-0.94994705]
565,PLIN.JK,968,241,0.6680497925311203,135,833,"[[-5.06129167e-01  2.28876495e-04  1.80126491e-01  1.14808902e-02
   2.22148218e-01]]",[-1.84349259]
566,PMJS.JK,635,158,0.6265822784810127,222,413,"[[-2.33958291e-01  1.60770539e-02 -1.66681057e-03  5.51799691e-03
  -1.95774140e+00]]",[-0.6224634]
567,PMMP.JK,441,110,0.7181818181818181,184,257,[[-0.14381237 -0.01588009 -0.08837204  0.00226797 -1.06531895]],[-0.33709279]
568,PNBN.JK,967,241,0.5643153526970954,368,599,[[-0.11289216 -0.01384506  0.01229418  0.0057985  -0.10369374]],[-0.48770427]
569,PNBS.JK,967,241,0.6556016597510373,213,754,[[-0.00887228  0.01724433 -0.04888749  0.0062861  -0.1341235 ]],[-1.28429777]
570,PNGO.JK,501,125,0.664,166,335,"[[-2.00012271e-01 -1.19880578e-02 -2.63829059e-04 -1.15625329e-02
  -1.87148449e+00]]",[-0.70094746]
571,PNIN.JK,967,241,0.5892116182572614,355,612,[[-0.14800131  0.03838876 -0.02092714 -0.00705181 -2.04348165]],[-0.5401134]
572,PNLF.JK,968,241,0.5850622406639004,352,616,[[-0.10702717  0.00465142  0.02476218 -0.00661112 -0.28206996]],[-0.55664284]
573,PNSE.JK,966,241,0.8630705394190872,150,816,[[ 0.19767532  0.03170479  0.04982554  0.02329645 -0.02004199]],[-1.69615721]
574,POLA.JK,860,215,0.7162790697674418,236,624,[[ 0.21356911  0.00490212 -0.0026593  -0.00586213 -1.14369888]],[-0.97074554]
575,POLI.JK,829,207,0.6714975845410628,310,519,[[-0.06429433  0.12532564 -0.0746     -0.00967728 -1.90636515]],[-0.52414401]
576,POLL.JK,934,233,0.721030042918455,319,615,[[ 0.97802745  0.01217951 -0.0133686   0.02696414  0.42026762]],[-0.6627722]
577,POLU.JK,735,183,0.639344262295082,212,523,"[[-6.28108558e-01  2.73325425e-04 -1.07113918e-01 -8.25421465e-03
   7.34073422e-02]]",[-0.92055096]
578,POLY.JK,968,241,0.7427385892116183,243,725,[[-0.38367442  0.0025637   0.03482949  0.00396011 -1.84264981]],[-1.09383699]
579,POOL.JK,966,241,1.0,150,816,[[-0.35739929 -0.04085145  0.72417477  0.02846439  0.18819325]],[-1.69295637]
580,PORT.JK,967,241,0.6804979253112033,188,779,[[-1.00789021  0.00279498 -0.003412    0.01551661 -0.15168544]],[-1.4232725]
581,POSA.JK,760,189,1.0,17,743,[[-0.15821681  1.36445715  0.83559739 -0.81039348  1.10002514]],[-3.80384728]
582,POWR.JK,967,241,0.6639004149377593,290,677,[[-0.02206882  0.02885069  0.05913341 -0.00438528 -1.1457582 ]],[-0.84553396]
583,PPGL.JK,522,130,0.5846153846153846,183,339,[[ 0.10143671 -0.00372509 -0.06546607  0.06958078  0.31300897]],[-0.62953972]
584,PPRE.JK,967,241,0.6639004149377593,339,628,[[ 0.00021858  0.06118998 -0.05628536  0.00022018 -0.01085636]],[-0.61567884]
585,PPRO.JK,967,241,0.9294605809128631,250,717,[[-0.05187909 -0.00488198  0.0863285   0.0021588  -0.15640033]],[-1.04636157]
586,PRAS.JK,967,241,0.7219917012448133,271,696,[[-0.26667491  0.00260979  0.02079832  0.00489543 -1.41759151]],[-0.94168131]
587,PRAY.JK,72,18,0.7777777777777778,27,45,[[ 0.01206533 -0.00603988 -0.06835357 -0.11498256 -0.2871387 ]],[-0.54788147]
588,PRDA.JK,967,241,0.6141078838174274,352,615,[[ 0.02899532 -0.00341173  0.02518817  0.00645573 -1.30363881]],[-0.55628479]
589,PRIM.JK,965,241,0.7178423236514523,302,663,[[-0.12711005  0.00291248 -0.00321228 -0.00502223 -0.62213015]],[-0.78267238]
590,PSAB.JK,967,241,0.6058091286307054,350,617,[[-0.17026081  0.10734611 -0.00167961 -0.00640914 -0.3880207 ]],[-0.57413635]
591,PSDN.JK,968,241,0.6514522821576764,311,657,[[-0.56313144 -0.00254454 -0.04662668 -0.00821301 -1.05758758]],[-0.74671143]
592,PSGO.JK,648,162,0.6296296296296297,250,398,[[-0.20609314  0.01352713 -0.02985914 -0.0075982  -0.74770743]],[-0.47336122]
593,PSSI.JK,967,241,0.6099585062240664,399,568,[[-0.17392532  0.03499982 -0.01686638  0.01455144 -0.58944474]],[-0.33773411]
594,PTBA.JK,967,241,0.5560165975103735,424,543,[[ 0.02593917 -0.03706127 -0.16720033  0.01271495 -0.5319404 ]],[-0.24568785]
595,PTDU.JK,447,111,0.8378378378378378,139,308,[[ 0.82684026  0.04512329 -0.00781414  0.00767355  0.50427414]],[-0.79717691]
596,PTIS.JK,968,241,0.6390041493775933,209,759,[[-0.32139473 -0.01209321  0.06079192  0.00490249 -1.01332093]],[-1.28699916]
597,PTMP.JK,6,1,0.0,2,4,[[-0.01204557 -0.18262244 -0.04465459 -0.4397565  -0.09823066]],[-1.49797149]
598,PTPP.JK,967,241,0.6058091286307054,384,583,[[ 0.11366252 -0.07270527  0.07949279  0.01159855  0.33689004]],[-0.42099885]
599,PTPW.JK,608,152,0.6578947368421053,227,381,[[ 0.23691564  0.01333188 -0.22243914  0.01884361  0.66833037]],[-0.53607842]
600,PTRO.JK,967,241,0.5228215767634855,417,550,[[-0.1314467  -0.00087865 -0.03778117 -0.01016721 -0.3724286 ]],[-0.27193412]
601,PTSN.JK,968,241,0.6514522821576764,341,627,[[-0.0452264  -0.03003435 -0.00434545 -0.00756375 -0.90643749]],[-0.60653234]
602,PUDP.JK,968,241,0.6473029045643154,205,763,"[[-3.08234913e-01 -4.17857361e-03  1.53606491e-02 -1.20290623e-03
  -1.34949733e+00]]",[-1.31301698]
603,PURA.JK,614,153,1.0,164,450,[[ 0.00870911  0.00481784 -0.00939111 -0.00829693  0.38696739]],[-1.01299986]
604,PURE.JK,674,168,1.0,191,483,[[-0.3564144  -0.03240998 -0.05660302  0.00863381 -0.73376888]],[-0.93599192]
605,PURI.JK,496,124,0.6532258064516129,165,331,"[[-5.20049813e-01  2.44934919e-02  2.61517626e-01  1.58141920e-03
  -1.72011980e+00]]",[-0.70716207]
606,PWON.JK,967,241,0.6016597510373444,383,584,[[-0.18275305 -0.04166833  0.05465164  0.01418326 -0.14856516]],[-0.42755877]
607,PYFA.JK,967,241,0.6721991701244814,287,680,"[[-5.61211351e-03  2.69608403e-04 -7.66670973e-04 -4.59321750e-03
  -1.54429407e+00]]",[-0.85983612]
