Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
TLKM.JK,967,241,0.5560165975103735,417,550,[-0.03241404  0.01586005  0.01600537 -0.03009787 -0.00149316 -0.56352001],-0.278935647935132
TMAS.JK,968,241,0.5352697095435685,317,651,"[ 1.93879283e-01  4.70117171e-02 -9.77791824e-03 -6.19023867e-04
 -1.02540242e-02 -7.20827041e-01]",-0.7128736252116861
TMPO.JK,965,241,0.6763485477178424,295,670,[-0.37317238  0.10012524  0.01153933  0.00482621 -0.00428567 -2.21190415],-0.8218395291734002
TNCA.JK,942,235,0.6638297872340425,341,601,"[-2.47257284e-02  4.31561263e-03 -1.25993577e-04  1.07059007e-01
  3.91884062e-04 -7.48001261e-01]",-0.5631633904251039
TOBA.JK,967,241,0.6556016597510373,257,710,[-0.00159825  0.00586488  0.00702503  0.11480852 -0.00084158 -0.78731872],-1.0118645039571121
TOOL.JK,124,31,0.6774193548387096,25,99,"[-2.84431656e-02  6.11697878e-02 -1.22977226e-01  4.90589629e-01
  1.40178857e-03  1.64509960e+00]",-1.390663668048305
TOPS.JK,408,102,0.9313725490196079,131,277,[-0.03633737 -0.02509975 -0.11555466  0.14344459  0.02115216 -0.161235  ],-0.7534514861272859
TOTL.JK,967,241,0.6265560165975104,311,656,"[ 8.18049364e-05  9.74719995e-05 -5.32699793e-04 -3.44243870e-02
 -1.04830343e-01 -6.17034251e-03]",-0.34064830554571063
TOTO.JK,967,241,0.6887966804979253,303,664,[-0.02364805  0.0142308  -0.00822258  0.02073406  0.02270007 -2.52010002],-0.7906011483089314
TOWR.JK,967,241,0.5933609958506224,368,599,[-0.023896    0.00426707 -0.01074298 -0.01054882  0.01685405 -1.11118662],-0.48178509392544727
TOYS.JK,513,128,0.71875,164,349,[ 0.14354078  0.15898609 -0.12615674  0.43730271 -0.04698185 -0.52465084],-0.7764923837128601
TPIA.JK,968,241,0.5933609958506224,463,505,[ 0.47076126  0.04165562 -0.03119148 -0.30409738 -0.0142082   0.58207418],-0.10966109160353138
TPMA.JK,967,241,0.5809128630705395,280,687,"[ 2.84913687e-03 -2.03073324e-05 -8.03801505e-02  2.68622681e-02
 -1.04284901e-03 -2.53178811e-01]",-0.8921006321209534
TRAM.JK,324,81,0.8024691358024691,108,216,[-0.1013623   0.00665455 -0.0211444   0.12025966  0.06126684 -0.8919727 ],-0.6982058061342
TRGU.JK,143,35,0.7142857142857143,38,105,[-0.03023197 -0.01446744 -0.03926755  0.594514    0.0108928  -0.88653476],-0.9903229236135506
TRIM.JK,964,241,0.6224066390041494,305,659,[-0.10676164 -0.01060269 -0.00773611 -0.10225914  0.03195463 -2.99042568],-0.7905315342958353
TRIN.JK,623,155,0.632258064516129,237,386,[ 0.0445155   0.12695273  0.06012375  0.10257733 -0.01181359 -0.02743472],-0.49380704597680225
TRIS.JK,968,241,0.6141078838174274,300,668,[-0.3816159   0.01584738 -0.03149378  0.0220589   0.0084992  -0.9249757 ],-0.7952577315728002
TRJA.JK,504,126,0.5952380952380952,211,293,[-0.02973746  0.01094549  0.07360086 -0.11463563  0.01190487  0.29597557],-0.3403573058847675
TRON.JK,6,1,0.0,2,4,[ 0.00224168 -0.03318766 -0.00792738  0.57100263 -0.21831872  0.12533687],-0.8911220378350136
TRST.JK,929,232,0.7370689655172413,159,770,"[-1.54263652e-02 -7.86026387e-02  1.11108513e-01  9.31094816e-03
  2.09974458e-04 -2.06503072e+00]",-1.61148230152909
TRUE.JK,303,75,0.9066666666666666,81,222,[ 0.00787236  0.07075689  0.12771331 -0.46988398  0.09059643 -0.02101605],-1.0278812482166344
TRUK.JK,962,240,0.65,327,635,[-0.04077702 -0.03619825 -0.01119242 -0.04026183  0.01061203 -0.2459611 ],-0.6597307333207842
TRUS.JK,968,241,0.6141078838174274,274,694,[-0.49889826 -0.00514577 -0.00104057  0.02275695 -0.00283051 -0.62733172],-0.9231338601719862
TSPC.JK,968,241,0.6639004149377593,343,625,[ 0.00769544 -0.00965626  0.00899657 -0.02147126 -0.00328692 -0.26446714],-0.5977150417213554
TUGU.JK,961,240,0.5875,293,668,[-0.17509605 -0.11228223  0.05041004  0.03254296  0.0069169   0.10224543],-0.8301673885161654
